title|task|tools|summary1|summary2|linkedinUrl
Web Scraping Made Easy with Browse AI|Project: How to Scrape Data from Any Website|Browse AI|Learned to automate data extraction from web pages without any coding. Covered web scraping use cases, data export for analysis, and legal/privacy considerations.|Today, I explored the potential of no-code web scraping using Browse AI, which simplifies data collection by identifying specific elements on web pages. Using this tool, I learned to efficiently extract, collate, and export data, making it highly accessible for use in various data-led projects, including tracking job openings. Web scraping can be an excellent approach to gather data from numerous sources without manual effort, thus saving considerable time.|https://www.linkedin.com/posts/mahesh-ketam_100daysofai-100daysofai-artificialintelligence-activity-7217120668625035265-iq42?utm_source=share&utm_medium=member_desktop
Creating a Step-by-Step Guide Using AI|Using Guidde to develop step-by-step instructional videos and guides|Guidde|Focused on creating a streamlined, AI-driven guide to document processes effectively and share knowledge interactively|Today, I explored Guidde, an AI tool designed for creating step-by-step video guides that document processes with ease. Using Guidde, I captured each action in a selected process to produce a cohesive, shareable video guide. This tool’s AI capabilities automate the generation of contextual steps, enhancing clarity and reducing the time needed to produce high-quality instructional content. This experience emphasized the role of AI in transforming traditional documentation, making knowledge sharing both efficient and visually engaging. Moving forward, I plan to leverage Guidde for more complex guides to further streamline process documentation.|https://www.linkedin.com/posts/mahesh-ketam_web-scraping-with-ai-activity-7217547720469659648-fMt4?utm_source=share&utm_medium=member_desktop
Unlocking PDF Secrets with AI Magic|Extracting insights from PDFs using AskYourPDF|AskYourPDF|Focused on using AI to interact with and extract insights from PDFs in a conversational interface|Today, I explored AskYourPDF, an AI-driven tool that enables conversational querying of PDF documents. By uploading a marketing-focused PDF, I used AskYourPDF’s chat interface to surface key insights, such as strategic marketing recommendations, without manually scanning each page. This experience showcased AI’s potential in simplifying research, making it faster and more efficient to find actionable data within large documents. Moving forward, I aim to apply this tool to additional research tasks, further enhancing document analysis and knowledge extraction with AI.|https://www.linkedin.com/posts/mahesh-ketam_100daysofai-ai-machinelearning-activity-7217860328452149248-M9ew?utm_source=share&utm_medium=member_desktop
Week 2 Milestone Reflection|Reflecting on progress and achievements over the past two weeks in the 100 Days of AI journey|None|Dedicated time to reflect on achievements, noting milestones such as creating an AI-powered business coach and exploring AI-driven search tools|Today, I took a break to reflect on the projects completed during Week 2. These projects included building a Speech-to-Text app, an AI business coach, and leveraging AI for document insights and web scraping. Through these tasks, I explored AI's potential in accessibility, business strategy, and data extraction. Reflecting on this journey, I’ve gained deeper insights into how AI can be applied to enhance productivity, streamline processes, and deliver impactful solutions. This pause has not only highlighted my growth but also inspired new ideas for leveraging AI in future projects.|https://www.linkedin.com/posts/mahesh-ketam_100daysofai-100daysofai-artificialintelligence-activity-7218180106807123969-Lk6y?utm_source=share&utm_medium=member_desktop
AI Video Creation with Kapwing|Exploring AI-driven video creation using Kapwing to produce social media videos effortlessly|Kapwing|Learned to create and edit videos from text prompts and articles, added enhancements like text-to-speech and smart B-roll to elevate the quality|Today, I explored Kapwing, a powerful AI video creation tool. I created social media videos using just text prompts, converted articles into engaging videos, and added features like text-to-speech for enhanced audio. The tool's capabilities make video creation accessible, allowing anyone to generate high-quality videos without prior editing experience. This process showed me the potential of AI to streamline media creation and expand creative possibilities, especially for content creators and educators.|https://www.linkedin.com/posts/mahesh-ketam_100daysofai-100daysofai-artificialintelligence-activity-7218569310275874816-rGd-?utm_source=share&utm_medium=member_desktop
Custom CRM Creation with Frontly|Built a custom CRM system using Frontly to manage and analyze customer interactions effectively|Frontly|Learned to create a CRM with features like lead tracking, data visualization, and automated forms. Explored Frontly’s no-code capabilities to streamline the CRM development process and enhance customer relationships.|Today, I built a custom Customer Relationship Management (CRM) system using Frontly. The project focused on centralizing customer data, improving relationship management, and automating lead tracking. I created pages for all leads, filtered views for analytics services, and visualized service demand using AI-generated charts. This hands-on experience highlighted the power of no-code tools in transforming business processes and enhancing productivity.|https://www.linkedin.com/posts/mahesh-ketam_100daysofai-100daysofai-ai-activity-7218940387309047808-obtm?utm_source=share&utm_medium=member_desktop
Landing Page Creation with ChatGPT and Replit|Used ChatGPT to generate HTML and CSS code for a landing page and implemented it in Replit|ChatGPT, Replit|Learned to leverage AI for coding and quickly created a landing page. Explored Replit as a platform to run and test the generated code, gaining hands-on experience in using AI tools for practical coding projects.|Today, I combined the power of AI with coding by generating a landing page using ChatGPT and bringing it to life on Replit. The process was seamless and educational, demonstrating how AI can serve as a coding partner. I created an interactive landing page and successfully executed the code in Replit, enhancing my skills in using AI for coding tasks. I look forward to diving deeper into advanced coding techniques and more complex projects.|https://www.linkedin.com/posts/mahesh-ketam_100daysofai-ai-artificialintelligence-activity-7219274424376516609-F2Qu?utm_source=share&utm_medium=member_desktop
Creating AI-Powered Ad Creatives|Utilized AdCreative.ai to create an advertising brand kit, ad template, and ad copy using AI-generated designs and text.|AdCreative.ai|Learned how to leverage AI for efficient ad design and copywriting, enabling faster and more effective ad creation. Experimented with generating custom ad creatives tailored for specific platforms.|Today, I explored AI-powered ad creative design using AdCreative.ai. I successfully created a brand kit, designed an ad template, and generated ad copy, streamlining the advertising process significantly. The tool's capabilities in optimizing performance and customization for target audiences were eye-opening, and I'm eager to apply these insights to enhance ad engagement and conversion rates in future projects.|https://www.linkedin.com/posts/mahesh-ketam_100daysofai-ai-adcreatives-activity-7219699190921060355-4HFy?utm_source=share&utm_medium=member_desktop
Creating AI-Generated Videos with Runway|Utilized Runway to create videos from text prompts and static images, exploring innovative ways to tell stories visually.|Runway|Learned to generate engaging videos using simple text prompts and to animate images with Runway’s 'Motion Brush' feature, enhancing my skills in video content creation.|Today, I dove into AI-powered video creation using Runway. I transformed text prompts into stunning videos and animated images, discovering the ease of use and potential for storytelling. This experience has opened new avenues for my content creation process, making video production accessible and exciting.|https://www.linkedin.com/posts/mahesh-ketam_ai-artificialintelligence-100daysofai-activity-7219965428612091904-Ph6w?utm_source=share&utm_medium=member_desktop
Exploring AI-Assisted Creative Writing|Utilized Sudowrite to craft a fictional story about my week in AI and used Checklet to refine jokes generated with an AI assistant.|Sudowrite, Checklet, ChatGPT|Learned to create engaging narratives with Sudowrite and improve joke writing using Checklet's feedback system, enhancing my creative writing skills.|Today, I dived into the realm of creative writing with Sudowrite and Checklet. I crafted a fictional story about my week in AI and polished AI-generated jokes, discovering the versatility of AI in storytelling and humor. This experience showcases how AI can enrich the writing process, making creativity more accessible.|https://www.linkedin.com/posts/mahesh-ketam_100daysofai-ai-storytelling-activity-7220411575684251648-8Uz4?utm_source=share&utm_medium=member_desktop
Week 3 Reflection|Reflected on a productive week of learning and engaging with AI tools.|None|• Created social media videos with Kapwing on Day 15 🎥 • Built a custom CRM using Frontly on Day 16 💼 • Generated code with ChatGPT & Replit on Day 17 💻 • Designed ad creatives with AdCreative.ai on Day 18 🖼️ • Produced a video with AI using Runway on Day 19 🎬 • Enhanced writing with Sudowrite, ChatGPT, and Checklet on Day 20 ✍️|This week has been incredibly productive and enlightening! Engaging with a variety of AI tools expanded my skills and creativity. Each tool has allowed me to express my creativity and enhance my productivity. I'm excited about the learning journey ahead and the possibilities that AI offers!|https://www.linkedin.com/posts/mahesh-ketam_100daysofai-100daysofai-ai-activity-7220672369617514496-5xRw?utm_source=share&utm_medium=member_desktop
Visualize Your Learning With AI|Exploring a visual way of learning using Albus, a tool that allows users to interact with topics through images, text, and stories to enhance understanding.|Albus|Engaged with AI concepts visually, enhancing accessibility and understanding by using images and storytelling.|Today, I explored AI topics using Albus, delving into a new way of learning by visual association. I created a new board, explored topic breakdowns, found associated images, and used the Story function to deepen my understanding.|https://www.linkedin.com/posts/mahesh-ketam_100daysofai-ai-100daysofai-activity-7221181184045641729-0Rrn?utm_source=share&utm_medium=member_desktop
Making Art and Video in Discord|Exploring AI tools in Discord to create images and videos with Distillery and Pika Lab, using simple prompts to generate media quickly.|Discord, Distillery, Pika Lab|Experimented with creating AI-generated images and videos directly through Discord channels, learning prompt techniques and optional parameters for enhanced outputs.|Today, I created images using Distillery with text prompts and explored video creation with Pika Lab in Discord. I learned how to animate images and add camera movement, refining outputs for a more professional feel.|https://www.linkedin.com/posts/mahesh-ketam_100daysofai-ai-machinelearning-activity-7221544488660353027-uZWU?utm_source=share&utm_medium=member_desktop
Synthesize Your Voice with ElevenLabs|Learning to create synthesized voices using ElevenLabs, including voice cloning and crafting a unique synthetic voice.|ElevenLabs|Explored voice synthesis by creating an AI-generated version of my own voice and a unique synthetic voice. Experimented with different voice settings to understand their effects on delivery style.|Today, I synthesized my own voice and created a new, unique synthetic voice using ElevenLabs. This exercise highlighted the potential applications of AI in voice synthesis across content creation, accessibility, and personalization. I'm excited about the opportunities this technology opens for communication!|https://www.linkedin.com/posts/mahesh-ketam_100daysofai-100daysofai-100daysofai-activity-7221840368554668033-KmDe?utm_source=share&utm_medium=member_desktop
Creating AI Art with Adobe Firefly|Learning to generate AI art using Adobe Firefly, focusing on dynamic prompting to enhance creativity in images.|Adobe Firefly|Explored the capabilities of Adobe Firefly by creating unique AI-generated images with dynamic prompts. Learned to control various image elements, including subject, style, location, and lighting, to achieve desired results.|Today, I experimented with Adobe Firefly, crafting unique AI-generated artworks using dynamic prompting. This exercise opened up new ways to blend creativity with technology, and I'm excited to use these techniques for future projects!|https://www.linkedin.com/posts/mahesh-ketam_100daysofai-100daysofai-aiart-activity-7222289738194464769--lPq?utm_source=share&utm_medium=member_desktop
AI Video Mini-Mission with Genmo|Creating AI videos with Genmo using style modifiers and descriptors for unique artistic outcomes.|Genmo|Learned to generate AI-driven videos on Genmo with style modifiers and descriptors. Created a video showcasing a no-coder working on Mars, experimenting with creative adjustments in Genmo's video generation.|Today, I explored video creation with Genmo, using style modifiers to craft visually unique videos. This experience helped me experiment with AI in video content creation and discover new ways to enhance video aesthetics with AI tools.|https://www.linkedin.com/posts/mahesh-ketam_100daysofai-100daysofai-100daysofai-activity-7222616462891388928-KRyl?utm_source=share&utm_medium=member_desktop
AI-Powered Email Categorization Tool|Building an email categorizer to automate sorting customer emails by priority and sentiment using OpenAI's API and Triggre.|Triggre, OpenAI, Zapier|Developed an email sorting tool with Triggre and OpenAI API integration, utilizing Zapier for automated email categorization. This system analyzes incoming emails' priority and sentiment to help streamline business workflows.|Today, I explored the potential of AI in business automation by building an email categorizer. With OpenAI and Triggre, this tool efficiently organizes customer emails, freeing time for high-priority responses and enhancing productivity.|https://www.linkedin.com/posts/mahesh-ketam_ai-businessprocessautomation-openai-activity-7223012072270225408-NqN3?utm_source=share&utm_medium=member_desktop
Week 4 Highlights - From Art to Automation|Reflecting on a diverse week of AI exploration, from creative projects to automation.|None|Summarized key learnings and milestones from Week 4, covering AI-driven art creation, video generation, voice synthesis, and automation solutions with innovative tools.|This week's journey through AI spanned across visual learning, creative generation, voice synthesis, and automation. Each tool contributed uniquely to understanding AI's transformative role in both creativity and productivity.|https://www.linkedin.com/posts/mahesh-ketam_100daysofai-ai-artificialintelligence-activity-7223311084688961536-DFRC?utm_source=share&utm_medium=member_desktop
Crafting a Winning Marketing Strategy with AI|Created a comprehensive marketing strategy using AI for a new health and wellness product line, focusing on elements like target audience, messaging, and channels.|ChatGPT, AI Assistant|Developed a detailed marketing plan utilizing the PREP framework, covering essential areas such as market analysis, target demographics, and campaign strategies.|The process demonstrated the potential of AI in streamlining strategic planning, making it more data-driven and efficient. By defining roles, giving explicit instructions, and setting clear parameters, I crafted a tailored, actionable plan for market success.|https://www.linkedin.com/posts/mahesh-ketam_marketing-strategy-activity-7223625924838088705-jrt9?utm_source=share&utm_medium=member_desktop
Mastering Video Shorts with OpusClip!|Learned how to repurpose long-form video into engaging video shorts for social media using Opus Clip.|Opus Clip|Created social media video shorts from longer video content with just one click, capturing attention with strategic edits and captions.|This experience highlighted the impact of video in social media marketing, making content more accessible and engaging for users. It also demonstrated how AI tools can streamline the video editing process, optimizing content for multiple platforms.|https://www.linkedin.com/posts/mahesh-ketam_100daysofai-ai-videoshorts-activity-7224067940638191617-xGev?utm_source=share&utm_medium=member_desktop
Streamlining Job Applications with AI-Powered Cover Letters|Learned how to use aiApply to create job-specific cover letters quickly and effectively, improving application efficiency.|aiApply|Used AI to generate cover letters and resumes tailored to specific job descriptions, helping to align key skills with role requirements.|This approach minimizes time and energy in the job application process, allowing for more targeted applications and potentially higher response rates.|https://www.linkedin.com/posts/mahesh-ketam_cover-letter-activity-7224454663209635840-LiUf?utm_source=share&utm_medium=member_desktop
Embracing the Mission Phase with Creative Exploration|Completed the Adobe Creative Types test and identified my creative type as 'Adventurer', paving the way for enhanced creative self-awareness.|Adobe Creative Types|Discovered personal strengths and learned how to apply them effectively to real-world projects within the 100 Days of AI challenge.|As an 'Adventurer', I plan to leverage my curiosity and enthusiasm to explore new AI projects, enhance storytelling, and connect with others on LinkedIn, inspiring others through shared insights and dynamic learning.|https://www.linkedin.com/posts/mahesh-ketam_my-creative-type-activity-7224781343149146113-xpBF?utm_source=share&utm_medium=member_desktop
Embracing Creativity and Overcoming Perfection|Completed the 30 Circles Exercise to boost creativity and reduce perfectionism in ideation processes.|Paper and Pencil|Practiced generating a high volume of ideas quickly to enhance fluency and flexibility in creative thinking.|The exercise taught me the power of focusing on quantity over quality, showing how quickly produced ideas lead to unique and valuable insights. I plan to use this technique regularly for creative inspiration in AI projects.|https://www.linkedin.com/posts/mahesh-ketam_100daysofai-ai-machinelearning-activity-7225146021540962304-qgrO?utm_source=share&utm_medium=member_desktop
Creating a Productive Workspace|Set up my workspace to foster productivity and consistency in the 100DaysofAI challenge.|Organizing Materials|Focused on reducing friction for positive habits and increasing friction for distractions by organizing and preparing my learning space.|After clearing and organizing, I realized how a well-prepared space makes it easier to start each session. I've made everything I need easily accessible, making it simpler to maintain focus and build consistent AI study habits.|https://www.linkedin.com/posts/mahesh-ketam_100daysofai-100daysofai-aichallenge-activity-7225494908516679680-rBuc?utm_source=share&utm_medium=member_desktop
Reflecting on Week 5|Took a day to relax, reflect, and review progress so far in the 100DaysofAI challenge.|Reflection|Reviewed my recent AI projects and experiences, acknowledging significant progress and setting intentions for upcoming tasks.|Week 5 Highlights: Developed marketing strategies, created engaging video content, tailored job-specific cover letters, prepared for sprint missions, and completed sprints onboarding phases. Excited to continue this journey!|https://www.linkedin.com/posts/mahesh-ketam_100daysofai-ai-machinelearning-activity-7225787791744413696-vGol?utm_source=share&utm_medium=member_desktop
Crafting the Generalist Movement Campaign|Completed research and synthesis for Generalist World, focusing on the role of generalists and their impact on the workforce.|Research & Synthesis|Explored the generalist movement to understand the unique skill sets of generalists, their adaptability, and their contributions. Defined campaign goals to spread awareness and elevate brand recognition for Generalist World.|Research Findings: Generalists bridge disciplines, bringing adaptability and innovation. Campaign Goal: To inspire people with generalist skills and position Generalist World as a hub for non-linear careers. Highlighted examples of icons like Beyoncé and Elon Musk.|https://www.linkedin.com/posts/mahesh-ketam_generalist-activity-7226244697810223105-51iP?utm_source=share&utm_medium=member_desktop
Campaign Brainstorming for Generalist World|Utilized the SCAMPER framework to brainstorm and ideate structure and content for a campaign to raise awareness about the generalist movement.|Brainstorming & Ideation|Organized ideas using a mind map to visually outline campaign structure, showcasing the importance of generalists and increasing brand recognition for Generalist World.|The SCAMPER framework provided a systematic approach: substituting, combining, adapting, modifying, and refining elements to create a unique and impactful campaign. This step brings clarity on showcasing the generalist value through project showcases, personal stories, and engaging visuals.|https://www.linkedin.com/posts/mahesh-ketam_generalist-movement-campaign-activity-7226596007579451394-p0z8?utm_source=share&utm_medium=member_desktop
Bringing Ideas to Life with Notion|Built the first part of the Generalist Movement Campaign by creating a detailed Notion page to represent the campaign’s objectives, target audience, key messages, timeline, and resources.|Campaign Creation|Developed a structured Notion page for the Generalist Movement Campaign, setting a foundation that highlights the versatility and strengths of generalists.|Transitioned from ideation to execution, using Notion to organize and present the campaign in a compelling way. This page serves as a hub to educate, engage, and inspire the generalist community, helping raise awareness for the movement.|https://www.linkedin.com/posts/mahesh-ketam_100daysofai-100daysofai-100daysofai-activity-7226962306604097537-Qlfm?utm_source=share&utm_medium=member_desktop
Bringing Ideas to Life! - Day 2|Enhanced key sections of the Generalist Movement Campaign to showcase the versatility and value of generalists.|Campaign Development|Completed the campaign by adding project showcases, skill highlights, personal stories, and a video section to enhance engagement and impact.|Made significant progress by creating detailed project showcases with visuals, highlighting critical skills, sharing personal growth stories, and incorporating videos to demonstrate the real-world impact of generalists.|https://www.linkedin.com/posts/mahesh-ketam_generalist-movement-campaign-notion-activity-7227331865328689152-b9DW?utm_source=share&utm_medium=member_desktop
Crafting the Perfect Distribution Strategy!|Defined a clear distribution strategy to maximize visibility and engagement for the Generalist Movement Campaign.|Campaign Distribution Strategy|Developed a detailed distribution plan focusing on using LinkedIn to connect with relevant audiences, including industry professionals and communities that align with the generalist philosophy.|Outlined strategies for attracting attention through social media, engaging the audience with interactive content, and providing value through resources and exclusive insights.|https://www.linkedin.com/posts/mahesh-ketam_generalist-movement-campaign-notion-activity-7227693729896116226-rQXV?utm_source=share&utm_medium=member_desktop
Launching My Distribution Strategy & Elevating My Profile!|Executed the distribution strategy for the Generalist Movement Campaign, leveraging LinkedIn to reach a broader audience.|Campaign Launch and Profile Optimization|Launched the campaign by sharing regular updates, engaging content, and exclusive insights, while also enhancing my LinkedIn profile to better reflect my journey and aspirations.|Updated profile headline and cover photo to resonate with the campaign's mission and enhance visibility.|https://www.linkedin.com/posts/mahesh-ketam_100daysofai-100daysofai-100daysofai-activity-7228085092005396480-WZII?utm_source=share&utm_medium=member_desktop
Reflecting on My AI Journey and Unveiling the Campaign|Reflected on the journey of creating and launching the Generalist Movement Campaign while sharing valuable insights and feedback.|Final Reflection and Campaign Sharing|Reflected on growth, challenges, and the creative process of developing the campaign. Unveiled the campaign to showcase interdisciplinary thinking and diverse skills.|Emphasized the importance of flexibility, collaboration, and feedback in refining the campaign.|https://www.linkedin.com/posts/mahesh-ketam_100daysofai-ai-100daysofai-activity-7228286764317032448-VoL0?utm_source=share&utm_medium=member_desktop
Learn How to Learn with AI|Learn How to Learn with AI|AI assistant (ChatGPT, Gemini, Claude, etc.)|Today, you’ll be learning how to use AI to learn! Very meta.|Today, I unlocked a new level in my AI journey by mastering the PREP Framework—a method that’s revolutionizing how I interact with and learn from AI. Here’s why it’s a game-changer: The PREP Framework Breakdown: Prompt: Setting the stage for AI interaction. Role: Assigning a clear role to the AI assistant. Explicit Instruction: Providing precise directions. Parameters: Defining the scope for optimal results. Using this framework, I created an engaging seminar script on firewalls. The AI, acting as a seminar expert, delivered a flawless balance of technical detail and simplicity. The result? A top-notch script ready to captivate any audience! As I continue this journey, I'm excited to explore even more ways AI can enhance our personal and professional lives. Let’s keep pushing the boundaries of what AI can achieve!|https://www.linkedin.com/posts/mahesh-ketam_seminar-activity-7228785076149309442-4FP0?utm_source=share&utm_medium=member_desktop
Crafting Logos with AI Magic!|Creating Logos with AI|Looka|Today, I explored AI-driven logo design and created a logo for the AI Innovators Hub!|Today, I took a creative leap by diving into AI-driven logo design and brought to life a stunning logo for the AI Innovators Hub! Using AI for logo creation is not just about speed; it’s about unlocking endless possibilities in creativity. With AI, I explored unique designs, color palettes, and styles that perfectly represent innovation and forward-thinking. My experience was enriching: I leveraged AI tools to brainstorm logo concepts, refined the design with the AI’s help to make it sleek and professional, and polished the logo to reflect the essence of the AI Innovators Hub. The result? A logo that speaks volumes about innovation and creativity! Check it out!|https://www.linkedin.com/posts/mahesh-ketam_looka-make-a-logo-youll-love-activity-7229123241703878656-PIeq?utm_source=share&utm_medium=member_desktop
Revolutionizing Presentations with AI-Powered Design|Creating Presentations with AI|Gamma|Today, I built an AI-powered presentation on Automation that’s sleek and informative!|Today was a game-changer! I built an AI-powered presentation on Automation that’s not only sleek but also incredibly informative. Using AI for this project was an eye-opener. The efficiency it brought to the design process saved me hours, allowing me to focus on content. The AI-generated slides are visually stunning and professional, and the content crafted with AI keeps the audience engaged. This is just the beginning—AI is opening doors to endless possibilities in content creation and automation. Can’t wait to see what’s next! Check out the slides and let me know what you think!|https://www.linkedin.com/posts/mahesh-ketam_ai-automation-artificialintelligence-activity-7229505442278785026-P6X6?utm_source=share&utm_medium=member_desktop
Boost Your SEO Strategy with AI Today!|Dove deep into using AI to enhance my SEO strategy by drafting SEO-optimized content and identifying keyword groups.|SEO Strategy Development|Explored the integration of AI into SEO, focusing on the PREP Framework and the Apprentice Model for creating effective content.|Learned to combine human creativity with AI precision using the AI Sandwich approach, which streamlined my content creation process and ensured alignment with brand voice.|https://www.linkedin.com/posts/mahesh-ketam_seo-ai-100daysofai-activity-7229813240346599425-PU1Z?utm_source=share&utm_medium=member_desktop
